PNU	EMD
1132010600102750000	도봉구 방학3동
1132010600102740000	도봉구 방학3동
1132010600104960000	도봉구 방학3동
1132010600104440031	도봉구 방학3동
1132010600106210006	도봉구 방학2동
1132010600106180001	도봉구 방학2동
1132010600102710001	도봉구 방학3동
1132010600106360000	도봉구 방학2동
1132010600107350000	도봉구 방학1동
1132010600107200018	도봉구 방학1동
1132010600106120002	도봉구 방학2동
1132010600107410000	도봉구 방학1동
1132010600107170002	도봉구 방학1동
1132010600107160005	도봉구 방학1동
1132010600107200001	도봉구 방학1동
1132010600107180007	도봉구 방학1동
1132010600107390000	도봉구 방학3동
1132010600107380000	도봉구 방학3동
1132010700100450000	도봉구 창1동
1132010600107400000	도봉구 방학3동
1132010600107320000	도봉구 방학3동
1132010600107310000	도봉구 방학3동
1132010600107360000	도봉구 방학3동
1132010600107340000	도봉구 방학3동
1132010600105310000	도봉구 방학3동
1132010600105300000	도봉구 방학3동
1132010600107300000	도봉구 방학3동
1132010600106690007	도봉구 방학3동
1132010600105080000	도봉구 방학3동
1132010600105070000	도봉구 방학3동
1132010600105220000	도봉구 방학3동
1132010600105190001	도봉구 방학3동
1132010500102560000	도봉구 쌍문4동
1132010500101990001	도봉구 쌍문4동
1132010500107270000	도봉구 쌍문4동
1132010500103110000	도봉구 쌍문4동
1132010500101580000	도봉구 쌍문4동
1132010500100590005	도봉구 쌍문4동
1132010500101600000	도봉구 쌍문4동
1132010500101590000	도봉구 쌍문4동
1132010500100540000	도봉구 쌍문4동
1132010500100530000	도봉구 쌍문4동
1132010500100590003	도봉구 쌍문4동
1132010500100590000	도봉구 쌍문4동
1132010500107260000	도봉구 쌍문3동
1132010500107250000	도봉구 쌍문3동
1132010500100500000	도봉구 쌍문4동
1132010500107290000	도봉구 쌍문3동
1132010600107140001	도봉구 방학1동
1132010600107130012	도봉구 방학1동
1132010600107160001	도봉구 방학1동
1132010600107150012	도봉구 방학1동
1132010600107120005	도봉구 방학1동
1132010600107050017	도봉구 방학1동
1132010600107130000	도봉구 방학1동
1132010600107120017	도봉구 방학1동
1132010600106950010	도봉구 방학1동
1132010600106900003	도봉구 방학1동
1132010600107010015	도봉구 방학1동
1132010600106950021	도봉구 방학1동
1132010500100690001	도봉구 쌍문4동
1132010500107300000	도봉구 쌍문4동
1132010600106890000	도봉구 방학1동
1132010600102660003	도봉구 방학1동
1132010500106000000	도봉구 쌍문2동
1132010500105750000	도봉구 쌍문2동
1132010500106420000	도봉구 쌍문2동
1132010500106390001	도봉구 쌍문2동
1132010500101950000	도봉구 쌍문2동
1132010500101530000	도봉구 쌍문2동
1132010500105740000	도봉구 쌍문2동
1132010500105670000	도봉구 쌍문2동
1132010500100560000	도봉구 쌍문2동
1132010500100200000	도봉구 쌍문2동
1132010500100810151	도봉구 쌍문2동
1132010500100730000	도봉구 쌍문2동
1132010500100130002	도봉구 쌍문2동
1132010500100110005	도봉구 쌍문2동
1132010500100190020	도봉구 쌍문2동
1132010500100190000	도봉구 쌍문2동
1132010500103210000	도봉구 쌍문3동
1132010500103150048	도봉구 쌍문3동
1132010500107240000	도봉구 쌍문3동
1132010500103880033	도봉구 쌍문3동
1132010500101390052	도봉구 쌍문3동
1132010500101390037	도봉구 쌍문3동
1132010500103150039	도봉구 쌍문3동
1132010500103150020	도봉구 쌍문3동
1132010500101000002	도봉구 쌍문3동
1132010500100960039	도봉구 쌍문3동
1132010500101280002	도봉구 쌍문3동
1132010500101030069	도봉구 쌍문3동
1132010500107110000	도봉구 쌍문2동
1132010500106580000	도봉구 쌍문2동
1132010500107230000	도봉구 쌍문2동
1132010500107130000	도봉구 쌍문2동
1130510300100450093	강북구 인수동
1130510300107390000	강북구 우이동
1130510300104030017	강북구 인수동
1130510300100470013	강북구 인수동
1130510400101750000	강북구 우이동
