adm_nm	adm_cd	adm_cd2	sgg	sido	sidonm	emd1	sggnm	emd2	선관위읍면동이름	OhRatio
서울특별시 종로구 청운효자동	1101072	1111051500	11110	11	서울특별시	종로구 청운효자동	종로구	청운효자동	청운효자동	0.505421891
서울특별시 종로구 사직동	1101053	1111053000	11110	11	서울특별시	종로구 사직동	종로구	사직동	사직동	0.612936135
서울특별시 종로구 삼청동	1101054	1111054000	11110	11	서울특별시	종로구 삼청동	종로구	삼청동	삼청동	0.587314017
서울특별시 종로구 부암동	1101055	1111055000	11110	11	서울특별시	종로구 부암동	종로구	부암동	부암동	0.546499478
서울특별시 종로구 평창동	1101056	1111056000	11110	11	서울특별시	종로구 평창동	종로구	평창동	평창동	0.640537029
서울특별시 종로구 무악동	1101057	1111057000	11110	11	서울특별시	종로구 무악동	종로구	무악동	무악동	0.573467478
서울특별시 종로구 교남동	1101058	1111058000	11110	11	서울특별시	종로구 교남동	종로구	교남동	교남동	0.591749113
서울특별시 종로구 가회동	1101060	1111060000	11110	11	서울특별시	종로구 가회동	종로구	가회동	가회동	0.514084507
서울특별시 종로구 종로1·2·3·4가동	1101061	1111061500	11110	11	서울특별시	종로구 종로1·2·3·4가동	종로구	종로1·2·3·4가동	종로1·2·3·4가동	0.566043614
서울특별시 종로구 종로5·6가동	1101063	1111063000	11110	11	서울특별시	종로구 종로5·6가동	종로구	종로5·6가동	종로5·6가동	0.571129707
서울특별시 종로구 이화동	1101064	1111064000	11110	11	서울특별시	종로구 이화동	종로구	이화동	이화동	0.505989583
서울특별시 종로구 혜화동	1101073	1111065000	11110	11	서울특별시	종로구 혜화동	종로구	혜화동	혜화동	0.548993771
서울특별시 종로구 창신1동	1101067	1111067000	11110	11	서울특별시	종로구 창신1동	종로구	창신1동	창신제1동	0.498307634
서울특별시 종로구 창신2동	1101068	1111068000	11110	11	서울특별시	종로구 창신2동	종로구	창신2동	창신제2동	0.483510493
서울특별시 종로구 창신3동	1101069	1111069000	11110	11	서울특별시	종로구 창신3동	종로구	창신3동	창신제3동	0.521426431
서울특별시 종로구 숭인1동	1101070	1111070000	11110	11	서울특별시	종로구 숭인1동	종로구	숭인1동	숭인제1동	0.522447502
서울특별시 종로구 숭인2동	1101071	1111071000	11110	11	서울특별시	종로구 숭인2동	종로구	숭인2동	숭인제2동	0.500835921
서울특별시 중구 소공동	1102052	1114052000	11140	11	서울특별시	중구 소공동	중구	소공동	소공동	0.602955665
서울특별시 중구 회현동	1102054	1114054000	11140	11	서울특별시	중구 회현동	중구	회현동	회현동	0.643390426
서울특별시 중구 명동	1102055	1114055000	11140	11	서울특별시	중구 명동	중구	명동	명동	0.6
서울특별시 중구 필동	1102057	1114057000	11140	11	서울특별시	중구 필동	중구	필동	필동	0.551972847
서울특별시 중구 장충동	1102058	1114058000	11140	11	서울특별시	중구 장충동	중구	장충동	장충동	0.546902655
서울특별시 중구 광희동	1102059	1114059000	11140	11	서울특별시	중구 광희동	중구	광희동	광희동	0.63440345
서울특별시 중구 을지로동	1102060	1114060500	11140	11	서울특별시	중구 을지로동	중구	을지로동	을지로동	0.59600444
서울특별시 중구 신당동	1102069	1114061500	11140	11	서울특별시	중구 신당동	중구	신당동	신당동	0.552116402
서울특별시 중구 다산동	1102070	1114062500	11140	11	서울특별시	중구 다산동	중구	다산동	다산동	0.54197731
서울특별시 중구 약수동	1102071	1114063500	11140	11	서울특별시	중구 약수동	중구	약수동	약수동	0.598192368
서울특별시 중구 청구동	1102072	1114064500	11140	11	서울특별시	중구 청구동	중구	청구동	청구동	0.581141578
서울특별시 중구 신당5동	1102065	1114065000	11140	11	서울특별시	중구 신당5동	중구	신당5동	신당제5동	0.531538936
서울특별시 중구 동화동	1102073	1114066500	11140	11	서울특별시	중구 동화동	중구	동화동	동화동	0.580251549
서울특별시 중구 황학동	1102067	1114067000	11140	11	서울특별시	중구 황학동	중구	황학동	황학동	0.542676311
서울특별시 중구 중림동	1102068	1114068000	11140	11	서울특별시	중구 중림동	중구	중림동	중림동	0.572870141
서울특별시 용산구 후암동	1103051	1117051000	11170	11	서울특별시	용산구 후암동	용산구	후암동	후암동	0.524242052
서울특별시 용산구 용산2가동	1103052	1117052000	11170	11	서울특별시	용산구 용산2가동	용산구	용산2가동	용산2가동	0.529072348
서울특별시 용산구 남영동	1103053	1117053000	11170	11	서울특별시	용산구 남영동	용산구	남영동	남영동	0.534385871
서울특별시 용산구 청파동	1103071	1117055500	11170	11	서울특별시	용산구 청파동	용산구	청파동	청파동	0.515675541
서울특별시 용산구 원효로1동	1103072	1117056000	11170	11	서울특별시	용산구 원효로1동	용산구	원효로1동	원효로제1동	0.618434472
서울특별시 용산구 원효로2동	1103057	1117057000	11170	11	서울특별시	용산구 원효로2동	용산구	원효로2동	원효로제2동	0.591124963
서울특별시 용산구 효창동	1103058	1117058000	11170	11	서울특별시	용산구 효창동	용산구	효창동	효창동	0.572878759
서울특별시 용산구 용문동	1103059	1117059000	11170	11	서울특별시	용산구 용문동	용산구	용문동	용문동	0.568680878
서울특별시 용산구 한강로동	1103073	1117062500	11170	11	서울특별시	용산구 한강로동	용산구	한강로동	한강로동	0.714750958
서울특별시 용산구 이촌1동	1103063	1117063000	11170	11	서울특별시	용산구 이촌1동	용산구	이촌1동	이촌제1동	0.788240918
서울특별시 용산구 이촌2동	1103064	1117064000	11170	11	서울특별시	용산구 이촌2동	용산구	이촌2동	이촌제2동	0.663994801
서울특별시 용산구 이태원1동	1103065	1117065000	11170	11	서울특별시	용산구 이태원1동	용산구	이태원1동	이태원제1동	0.672523478
서울특별시 용산구 이태원2동	1103066	1117066000	11170	11	서울특별시	용산구 이태원2동	용산구	이태원2동	이태원제2동	0.61014911
서울특별시 용산구 한남동	1103074	1117068500	11170	11	서울특별시	용산구 한남동	용산구	한남동	한남동	0.690819597
서울특별시 용산구 서빙고동	1103069	1117069000	11170	11	서울특별시	용산구 서빙고동	용산구	서빙고동	서빙고동	0.752821855
서울특별시 용산구 보광동	1103070	1117070000	11170	11	서울특별시	용산구 보광동	용산구	보광동	보광동	0.59698918
서울특별시 성동구 왕십리2동	1104052	1120052000	11200	11	서울특별시	성동구 왕십리2동	성동구	왕십리2동	왕십리제2동	0.536156513
서울특별시 성동구 왕십리도선동	1104071	1120053500	11200	11	서울특별시	성동구 왕십리도선동	성동구	왕십리도선동	왕십리도선동	0.61091284
서울특별시 성동구 마장동	1104054	1120054000	11200	11	서울특별시	성동구 마장동	성동구	마장동	마장동	0.560751105
서울특별시 성동구 사근동	1104055	1120055000	11200	11	서울특별시	성동구 사근동	성동구	사근동	사근동	0.592442097
서울특별시 성동구 행당1동	1104056	1120056000	11200	11	서울특별시	성동구 행당1동	성동구	행당1동	행당제1동	0.606815733
서울특별시 성동구 행당2동	1104057	1120057000	11200	11	서울특별시	성동구 행당2동	성동구	행당2동	행당제2동	0.59208627
서울특별시 성동구 응봉동	1104058	1120058000	11200	11	서울특별시	성동구 응봉동	성동구	응봉동	응봉동	0.598748084
서울특별시 성동구 금호1가동	1104059	1120059000	11200	11	서울특별시	성동구 금호1가동	성동구	금호1가동	금호1가동	0.600194417
서울특별시 성동구 금호2·3가동	1104072	1120061500	11200	11	서울특별시	성동구 금호2·3가동	성동구	금호2·3가동	금호2·3가동	0.588235294
서울특별시 성동구 금호4가동	1104062	1120062000	11200	11	서울특별시	성동구 금호4가동	성동구	금호4가동	금호4가동	0.612489884
서울특별시 성동구 옥수동	1104073	1120064500	11200	11	서울특별시	성동구 옥수동	성동구	옥수동	옥수동	0.688595823
서울특별시 성동구 성수1가1동	1104065	1120065000	11200	11	서울특별시	성동구 성수1가1동	성동구	성수1가1동	성수1가제1동	0.644682499
서울특별시 성동구 성수1가2동	1104066	1120066000	11200	11	서울특별시	성동구 성수1가2동	성동구	성수1가2동	성수1가제2동	0.596009975
서울특별시 성동구 성수2가1동	1104067	1120067000	11200	11	서울특별시	성동구 성수2가1동	성동구	성수2가1동	성수2가제1동	0.618974946
서울특별시 성동구 성수2가3동	1104068	1120069000	11200	11	서울특별시	성동구 성수2가3동	성동구	성수2가3동	성수2가제3동	0.614352183
서울특별시 성동구 송정동	1104069	1120072000	11200	11	서울특별시	성동구 송정동	성동구	송정동	송정동	0.551767677
서울특별시 성동구 용답동	1104070	1120079000	11200	11	서울특별시	성동구 용답동	성동구	용답동	용답동	0.508629048
서울특별시 광진구 화양동	1105053	1121571000	11215	11	서울특별시	광진구 화양동	광진구	화양동	화양동	0.566778778
서울특별시 광진구 군자동	1105054	1121573000	11215	11	서울특별시	광진구 군자동	광진구	군자동	군자동	0.536380173
서울특별시 광진구 중곡1동	1105055	1121574000	11215	11	서울특별시	광진구 중곡1동	광진구	중곡1동	중곡제1동	0.505297358
서울특별시 광진구 중곡2동	1105056	1121575000	11215	11	서울특별시	광진구 중곡2동	광진구	중곡2동	중곡제2동	0.518807149
서울특별시 광진구 중곡3동	1105057	1121576000	11215	11	서울특별시	광진구 중곡3동	광진구	중곡3동	중곡제3동	0.531164571
서울특별시 광진구 중곡4동	1105058	1121577000	11215	11	서울특별시	광진구 중곡4동	광진구	중곡4동	중곡제4동	0.526233803
서울특별시 광진구 능동	1105059	1121578000	11215	11	서울특별시	광진구 능동	광진구	능동	능동	0.517550018
서울특별시 광진구 광장동	1105063	1121581000	11215	11	서울특별시	광진구 광장동	광진구	광장동	광장동	0.646686065
서울특별시 광진구 자양1동	1105064	1121582000	11215	11	서울특별시	광진구 자양1동	광진구	자양1동	자양제1동	0.538821157
서울특별시 광진구 자양2동	1105065	1121583000	11215	11	서울특별시	광진구 자양2동	광진구	자양2동	자양제2동	0.585922206
서울특별시 광진구 자양3동	1105066	1121584000	11215	11	서울특별시	광진구 자양3동	광진구	자양3동	자양제3동	0.646568271
서울특별시 광진구 자양4동	1105067	1121584700	11215	11	서울특별시	광진구 자양4동	광진구	자양4동	자양제4동	0.595932203
서울특별시 광진구 구의1동	1105060	1121585000	11215	11	서울특별시	광진구 구의1동	광진구	구의1동	구의제1동	0.526164142
서울특별시 광진구 구의2동	1105061	1121586000	11215	11	서울특별시	광진구 구의2동	광진구	구의2동	구의제2동	0.531728137
서울특별시 광진구 구의3동	1105062	1121587000	11215	11	서울특별시	광진구 구의3동	광진구	구의3동	구의제3동	0.636574655
서울특별시 동대문구 용신동	1106081	1123053600	11230	11	서울특별시	동대문구 용신동	동대문구	용신동	용신동	0.550158473
서울특별시 동대문구 제기동	1106082	1123054500	11230	11	서울특별시	동대문구 제기동	동대문구	제기동	제기동	0.587768204
서울특별시 동대문구 전농1동	1106083	1123056000	11230	11	서울특별시	동대문구 전농1동	동대문구	전농1동	전농제1동	0.571642461
서울특별시 동대문구 전농2동	1106084	1123057000	11230	11	서울특별시	동대문구 전농2동	동대문구	전농2동	전농제2동	0.566009706
서울특별시 동대문구 답십리1동	1106091	1123060000	11230	11	서울특별시	동대문구 답십리1동	동대문구	답십리1동	답십리제1동	0.573751195
서울특별시 동대문구 답십리2동	1106086	1123061000	11230	11	서울특별시	동대문구 답십리2동	동대문구	답십리2동	답십리제2동	0.553725662
서울특별시 동대문구 장안1동	1106087	1123065000	11230	11	서울특별시	동대문구 장안1동	동대문구	장안1동	장안제1동	0.545077544
서울특별시 동대문구 장안2동	1106088	1123066000	11230	11	서울특별시	동대문구 장안2동	동대문구	장안2동	장안제2동	0.548085051
서울특별시 동대문구 청량리동	1106080	1123070500	11230	11	서울특별시	동대문구 청량리동	동대문구	청량리동	청량리동	0.610131485
서울특별시 동대문구 회기동	1106071	1123071000	11230	11	서울특별시	동대문구 회기동	동대문구	회기동	회기동	0.580244724
서울특별시 동대문구 휘경1동	1106072	1123072000	11230	11	서울특별시	동대문구 휘경1동	동대문구	휘경1동	휘경제1동	0.574584744
서울특별시 동대문구 휘경2동	1106073	1123073000	11230	11	서울특별시	동대문구 휘경2동	동대문구	휘경2동	휘경제2동	0.576119684
서울특별시 동대문구 이문1동	1106089	1123074000	11230	11	서울특별시	동대문구 이문1동	동대문구	이문1동	이문제1동	0.583501006
서울특별시 동대문구 이문2동	1106090	1123075000	11230	11	서울특별시	동대문구 이문2동	동대문구	이문2동	이문제2동	0.54506838
서울특별시 중랑구 면목2동	1107052	1126052000	11260	11	서울특별시	중랑구 면목2동	중랑구	면목2동	면목제2동	0.530719483
서울특별시 중랑구 면목4동	1107054	1126054000	11260	11	서울특별시	중랑구 면목4동	중랑구	면목4동	면목제4동	0.521081577
서울특별시 중랑구 면목5동	1107055	1126055000	11260	11	서울특별시	중랑구 면목5동	중랑구	면목5동	면목제5동	0.507462687
서울특별시 중랑구 면목본동	1107071	1126056500	11260	11	서울특별시	중랑구 면목본동	중랑구	면목본동	면목본동	0.522221447
서울특별시 중랑구 면목7동	1107057	1126057000	11260	11	서울특별시	중랑구 면목7동	중랑구	면목7동	면목제7동	0.53595924
서울특별시 중랑구 면목3·8동	1107072	1126057500	11260	11	서울특별시	중랑구 면목3·8동	중랑구	면목3·8동	면목제3·8동	0.539053803
서울특별시 중랑구 상봉1동	1107059	1126058000	11260	11	서울특별시	중랑구 상봉1동	중랑구	상봉1동	상봉제1동	0.546695687
서울특별시 중랑구 상봉2동	1107060	1126059000	11260	11	서울특별시	중랑구 상봉2동	중랑구	상봉2동	상봉제2동	0.525008785
서울특별시 중랑구 중화1동	1107061	1126060000	11260	11	서울특별시	중랑구 중화1동	중랑구	중화1동	중화제1동	0.526244532
서울특별시 중랑구 중화2동	1107062	1126061000	11260	11	서울특별시	중랑구 중화2동	중랑구	중화2동	중화제2동	0.518080737
서울특별시 중랑구 묵1동	1107064	1126062000	11260	11	서울특별시	중랑구 묵1동	중랑구	묵1동	묵제1동	0.552091931
서울특별시 중랑구 묵2동	1107065	1126063000	11260	11	서울특별시	중랑구 묵2동	중랑구	묵2동	묵제2동	0.531369758
서울특별시 중랑구 망우본동	1107073	1126065500	11260	11	서울특별시	중랑구 망우본동	중랑구	망우본동	망우본동	0.577271754
서울특별시 중랑구 망우3동	1107068	1126066000	11260	11	서울특별시	중랑구 망우3동	중랑구	망우3동	망우제3동	0.524399791
서울특별시 중랑구 신내1동	1107069	1126068000	11260	11	서울특별시	중랑구 신내1동	중랑구	신내1동	신내제1동	0.545357397
서울특별시 중랑구 신내2동	1107070	1126069000	11260	11	서울특별시	중랑구 신내2동	중랑구	신내2동	신내제2동	0.517031356
서울특별시 성북구 성북동	1108081	1129052500	11290	11	서울특별시	성북구 성북동	성북구	성북동	성북동	0.521412382
서울특별시 성북구 삼선동	1108082	1129055500	11290	11	서울특별시	성북구 삼선동	성북구	삼선동	삼선동	0.502325202
서울특별시 성북구 동선동	1108083	1129057500	11290	11	서울특별시	성북구 동선동	성북구	동선동	동선동	0.487668483
서울특별시 성북구 돈암1동	1108058	1129058000	11290	11	서울특별시	성북구 돈암1동	성북구	돈암1동	돈암제1동	0.551359331
서울특별시 성북구 돈암2동	1108059	1129059000	11290	11	서울특별시	성북구 돈암2동	성북구	돈암2동	돈암제2동	0.566620402
서울특별시 성북구 안암동	1108060	1129060000	11290	11	서울특별시	성북구 안암동	성북구	안암동	안암동	0.57150989
서울특별시 성북구 보문동	1108061	1129061000	11290	11	서울특별시	성북구 보문동	성북구	보문동	보문동	0.529039071
서울특별시 성북구 정릉1동	1108062	1129062000	11290	11	서울특별시	성북구 정릉1동	성북구	정릉1동	정릉제1동	0.534811872
서울특별시 성북구 정릉2동	1108063	1129063000	11290	11	서울특별시	성북구 정릉2동	성북구	정릉2동	정릉제2동	0.531244205
서울특별시 성북구 정릉3동	1108064	1129064000	11290	11	서울특별시	성북구 정릉3동	성북구	정릉3동	정릉제3동	0.554846296
서울특별시 성북구 정릉4동	1108065	1129065000	11290	11	서울특별시	성북구 정릉4동	성북구	정릉4동	정릉제4동	0.526324503
서울특별시 성북구 길음1동	1108066	1129066000	11290	11	서울특별시	성북구 길음1동	성북구	길음1동	길음제1동	0.549573529
서울특별시 성북구 길음2동	1108068	1129068500	11290	11	서울특별시	성북구 길음2동	성북구	길음2동	길음제2동	0.572978559
서울특별시 성북구 종암동	1108084	1129070500	11290	11	서울특별시	성북구 종암동	성북구	종암동	종암동	0.536704558
서울특별시 성북구 월곡1동	1108071	1129071500	11290	11	서울특별시	성북구 월곡1동	성북구	월곡1동	월곡제1동	0.493569387
서울특별시 성북구 월곡2동	1108072	1129072500	11290	11	서울특별시	성북구 월곡2동	성북구	월곡2동	월곡제2동	0.529745638
